date,papi-internal|gcp|production|es-client-stats-events-v2_fingerprinting
2021-07-03 19:50:00,960
2021-07-03 19:51:00,1137
2021-07-03 19:52:00,1142
2021-07-03 19:53:00,843
2021-07-03 19:54:00,1092
2021-07-03 19:55:00,901
2021-07-03 19:56:00,1125
2021-07-03 19:57:00,1177
2021-07-03 19:58:00,911
2021-07-03 19:59:00,1085
2021-07-03 20:00:00,1085
2021-07-03 20:01:00,881
2021-07-03 20:02:00,996
2021-07-03 20:03:00,1156
2021-07-03 20:04:00,949
2021-07-03 20:05:00,1014
2021-07-03 20:06:00,950
2021-07-03 20:07:00,957
2021-07-03 20:08:00,1151
2021-07-03 20:09:00,1084
2021-07-03 20:10:00,1023
2021-07-03 20:11:00,1106
2021-07-03 20:12:00,1159
2021-07-03 20:13:00,843
2021-07-03 20:14:00,1107
2021-07-03 20:15:00,1114
2021-07-03 20:16:00,1069
2021-07-03 20:17:00,1103
2021-07-03 20:18:00,1068
2021-07-03 20:19:00,1109
2021-07-03 20:20:00,913
2021-07-03 20:21:00,1052
2021-07-03 20:22:00,953
2021-07-03 20:23:00,992
2021-07-03 20:24:00,1067
2021-07-03 20:25:00,968
2021-07-03 20:26:00,1080
2021-07-03 20:27:00,1082
2021-07-03 20:28:00,918
2021-07-03 20:29:00,1101
2021-07-03 20:30:00,908
2021-07-03 20:31:00,1018
2021-07-03 20:32:00,1085
2021-07-03 20:33:00,846
2021-07-03 20:34:00,1052
2021-07-03 20:35:00,1012
2021-07-03 20:36:00,1106
2021-07-03 20:37:00,973
2021-07-03 20:38:00,1011
2021-07-03 20:39:00,966
2021-07-03 20:40:00,1056
2021-07-03 20:41:00,847
2021-07-03 20:42:00,998
2021-07-03 20:43:00,794
2021-07-03 20:44:00,1109
2021-07-03 20:45:00,864
2021-07-03 20:46:00,1106
2021-07-03 20:47:00,988
2021-07-03 20:48:00,954
2021-07-03 20:49:00,1004
2021-07-03 20:50:00,898
2021-07-03 20:51:00,1057
2021-07-03 20:52:00,896
2021-07-03 20:53:00,1073
2021-07-03 20:54:00,883
2021-07-03 20:55:00,1025
2021-07-03 20:56:00,1076
2021-07-03 20:57:00,842
2021-07-03 20:58:00,1026
2021-07-03 20:59:00,917
2021-07-03 21:00:00,990
2021-07-03 21:01:00,1010
2021-07-03 21:02:00,896
2021-07-03 21:03:00,999
